"Carimbo de data/hora","Faixa etária","Gênero","Sobre a tela inicial, qual das opções você prefere?","Sobre a tela de cadastro de Pessoa Física, qual das opções abaixo você prefere?","Sobre a tela de cadastro de Ponto de Coleta, qual das opções abaixo você prefere?","Sobre a tela de Informações, qual das opções abaixo você prefere?"
"2021/11/26 11:10:16 AM GMT-3","35-44","Masculino","Opção 1","Opção 1","Opção 1","Opção 1"
"2021/11/26 11:10:30 AM GMT-3","18-24","Masculino","Opção 2","Opção 2","Opção 2","Opção 2"
"2021/11/26 11:10:37 AM GMT-3","35-44","Masculino","Opção 1","Opção 1","Opção 1","Opção 1"
"2021/11/26 11:20:49 AM GMT-3","35-44","Masculino","Opção 1","Opção 1","Opção 1","Opção 1"
"2021/11/26 11:21:16 AM GMT-3","55-64","Masculino","Opção 1","Opção 1","Opção 1","Opção 1"
"2021/11/26 11:24:11 AM GMT-3","45-54","Masculino","Opção 1","Opção 1","Opção 1","Opção 1"
"2021/11/26 11:26:07 AM GMT-3","35-44","Masculino","Opção 1","Opção 1","Opção 1","Opção 1"
"2021/11/26 11:33:50 AM GMT-3","35-44","Masculino","Opção 1","Opção 1","Opção 1","Opção 1"
"2021/11/26 12:15:02 PM GMT-3","35-44","Masculino","Opção 1","Opção 1","Opção 1","Opção 1"
"2021/11/26 12:34:44 PM GMT-3","35-44","Feminino","Opção 1","Opção 1","Opção 1","Opção 1"
